id,source_schema,source_table,bronze_table,is_active,created_on,updated_on,target_partitions,pk_columns,batch_group,topic_group,tenant_group,is_modified_on_available
109,FireEvent,FireServiceCasualtyProtectiveEquipment,fireevent_fireservicecasualtyprotectiveequipment,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyProtectiveEquipmentID,1,null,null,true
110,FireEvent,FireServiceCasualtyProtectiveEquipmentItemModValue,fireevent_fireservicecasualtyprotectiveequipmentitemmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyProtectiveEquipmentID,1,null,null,true
111,FireEvent,FireServiceCasualtyProtectiveEquipmentProblemModValue,fireevent_fireservicecasualtyprotectiveequipmentproblemmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyProtectiveEquipmentID,1,null,null,true
112,FireEvent,FireServiceCasualtyUsualAssignmentModValue,fireevent_fireservicecasualtyusualassignmentmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
113,FireEvent,FireServiceCasualtyVehicleTypeModValue,fireevent_fireservicecasualtyvehicletypemodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,FireServiceCasualtyID,1,null,null,true
117,FireEvent,HazMatActionTaken,fireevent_hazmatactiontaken,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatActionTakenID,1,null,null,true
118,FireEvent,HazMatActionTakenActionTakenModValue,fireevent_hazmatactiontakenactiontakenmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatActionTakenID,1,null,null,true
119,FireEvent,HazMatAgencyResponding,fireevent_hazmatagencyresponding,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatAgencyRespondingID,1,null,null,true
120,FireEvent,HazMatAgencyRespondingAgencyTypeModValue,fireevent_hazmatagencyrespondingagencytypemodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatAgencyRespondingID,1,null,null,true
121,FireEvent,HazMatAreaAffectedModValue,fireevent_hazmatareaaffectedmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatID,1,null,null,true
122,FireEvent,HazMatAreaEvacuatedModValue,fireevent_hazmatareaevacuatedmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatID,1,null,null,true
123,FireEvent,HazMatBuildingEvacuatedCountModValue,fireevent_hazmatbuildingevacuatedcountmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatID,1,null,null,true
124,FireEvent,HazMatCapacityVolumeUnitsModValue,fireevent_hazmatcapacityvolumeunitsmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatID,1,null,null,true
125,FireEvent,HazMatCasualty,fireevent_hazmatcasualty,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatID,1,null,null,true
126,FireEvent,HazMatCauseOfReleaseModValue,fireevent_hazmatcauseofreleasemodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatID,1,null,null,true
127,FireEvent,HazMatContainerTypeModValue,fireevent_hazmatcontainertypemodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatID,1,null,null,true
128,FireEvent,HazMatDOTHazardClassificationModValue,fireevent_hazmatdothazardclassificationmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatID,1,null,null,true
129,FireEvent,HazMatEquipmentInvolved,fireevent_hazmatequipmentinvolved,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatID,1,null,null,true
130,FireEvent,HazMatEquipmentInvolvedModValue,fireevent_hazmatequipmentinvolvedmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatID,1,null,null,true
131,FireEvent,HazMatFirstOcurredModValue,fireevent_hazmatfirstocurredmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatID,1,null,null,true
132,FireEvent,HazMatHazMatDispositionModValue,fireevent_hazmathazmatdispositionmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatID,1,null,null,true
133,FireEvent,HazMatMitigationFactor,fireevent_hazmatmitigationfactor,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatMitigationFactorID,1,null,null,true
134,FireEvent,HazMatMitigationFactorMitigationFactorModValue,fireevent_hazmatmitigationfactormitigationfactormodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatMitigationFactorID,1,null,null,true
135,FireEvent,HazMatMobilePropertyInvolved,fireevent_hazmatmobilepropertyinvolved,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,HazMatID,1,null,null,true
